"","Year","City","Sport","Event","Height","Weight","Age"
"1",1896,"Athina","Athletics","Athletics Men's 1,500 metres",173.768624862787,69.0818452723431,22.497850678733
"2",1896,"Athina","Athletics","Athletics Men's 100 metres",176.523473378751,71.4399438942277,23.846943970935
"3",1896,"Athina","Athletics","Athletics Men's 110 metres Hurdles",176.539038739613,71.2866837629877,23.247850678733
"4",1896,"Athina","Athletics","Athletics Men's 400 metres",175.461711290129,67.7246327069104,22.9708375593203
"5",1896,"Athina","Athletics","Athletics Men's 800 metres",176.297997934071,71.8096834840112,21.7129882148723
"6",1896,"Athina","Athletics","Athletics Men's Discus Throw",178.40792116979,73.5609552210287,24.141119006671
"7",1896,"Athina","Athletics","Athletics Men's High Jump",177.588412727607,70.9471420060788,22.8
"8",1896,"Athina","Athletics","Athletics Men's Long Jump",175.359431995999,71.6910796238134,23.6420742605674
"9",1896,"Athina","Athletics","Athletics Men's Marathon",177.13512777226,74.7918827299489,24.6998136811286
"10",1896,"Athina","Athletics","Athletics Men's Pole Vault",176.824761262476,73.013774343849,24.0948416289593
"11",1896,"Athina","Athletics","Athletics Men's Shot Put",175.252523334915,71.4294473428488,23.4261150614092
"12",1896,"Athina","Athletics","Athletics Men's Triple Jump",172.243274103205,69.4006857342876,24.4261150614092
"13",1896,"Athina","Cycling","Cycling Men's 10,000 metres",176.465053721036,71.9773918257238,22.4971342383107
"14",1896,"Athina","Cycling","Cycling Men's 100 kilometres",176.81016684085,72.2596341317181,24.3950665692968
"15",1896,"Athina","Cycling","Cycling Men's 12-Hours Race",176.795712291219,72.8631818309,25.6841802995961
"16",1896,"Athina","Cycling","Cycling Men's 333 metres Time Trial",176.349555496158,71.5896703745367,23.9050681464119
"17",1896,"Athina","Cycling","Cycling Men's Road Race, Individual",176.711947657824,72.800924611329,27.197500684797
"18",1896,"Athina","Cycling","Cycling Men's Sprint",176.159325806446,71.2229493441566,21.622850678733
"19",1896,"Athina","Fencing","Fencing Men's Foil, Individual",176.21011289445,71.8956659621436,24.2816095612379
"20",1896,"Athina","Fencing","Fencing Men's Foil, Masters, Individual",176.019039414823,71.4380957760716,21.7457013574661
"21",1896,"Athina","Fencing","Fencing Men's Sabre, Individual",177.384136488968,73.469362779715,24.5965610859729
"22",1896,"Athina","Gymnastics","Gymnastics Men's Horizontal Bar",175.710106831962,71.4521414453277,25.0110356139656
"23",1896,"Athina","Gymnastics","Gymnastics Men's Horizontal Bar, Teams",175.510031009842,71.1262326341596,24.5823651237444
"24",1896,"Athina","Gymnastics","Gymnastics Men's Horse Vault",175.683240803081,71.267452383539,24.795004286307
"25",1896,"Athina","Gymnastics","Gymnastics Men's Parallel Bars",175.717294105805,71.4067161885909,25.233063075258
"26",1896,"Athina","Gymnastics","Gymnastics Men's Parallel Bars, Teams",175.722248063757,71.483256615193,23.442921162698
"27",1896,"Athina","Gymnastics","Gymnastics Men's Pommelled Horse",175.605992116101,71.2784215548089,25.0944311339691
"28",1896,"Athina","Gymnastics","Gymnastics Men's Rings",174.563511752281,72.309702315931,25.7118293471235
"29",1896,"Athina","Gymnastics","Gymnastics Men's Rope Climbing",177.553532668882,75.6748520641718,22.4982805429864
"30",1896,"Athina","Shooting","Shooting Men's Free Pistol, 30 metres",177.287579966786,73.2549015840603,26.4948416289593
"31",1896,"Athina","Shooting","Shooting Men's Free Rifle, Three Positions, 300 metres",176.851174235801,73.1762541765709,26.4431221719457
"32",1896,"Athina","Shooting","Shooting Men's Military Pistol, 25 metres",176.881080689275,73.0736604104641,26.6185520361991
"33",1896,"Athina","Shooting","Shooting Men's Military Rifle, 200 metres",176.816341873375,72.6518065029964,27.6229450340508
"34",1896,"Athina","Shooting","Shooting Men's Muzzle-Loading Pistol, 25 metres",177.122537845671,72.8077648014161,29.7457013574661
"35",1896,"Athina","Swimming","Swimming Men's 1,200 metres Freestyle",176.748015913791,72.9669016275048,22.0790346907994
"36",1896,"Athina","Swimming","Swimming Men's 100 metres Freestyle",176.748015913791,72.9669016275048,21.9123680241327
"37",1896,"Athina","Swimming","Swimming Men's 100 metres Freestyle For Sailors",176.783333333333,73.2683765203596,25.4914027149321
"38",1896,"Athina","Swimming","Swimming Men's 500 metres Freestyle",176.978784144588,73.4136433660253,23.6609351432881
"39",1896,"Athina","Tennis","Tennis Men's Doubles",176.636347189284,72.6073217670908,22.3474208144796
"40",1896,"Athina","Tennis","Tennis Men's Singles",176.483312098611,72.3545877915817,22.9816518288439
"41",1896,"Athina","Weightlifting","Weightlifting Men's Unlimited, One Hand",180.191915836102,80.5935650802147,23.2457013574661
"42",1896,"Athina","Weightlifting","Weightlifting Men's Unlimited, Two Hands",175.941528317311,77.3390820647282,23.6638009049774
"43",1896,"Athina","Wrestling","Wrestling Men's Unlimited Class, Greco-Roman",175.289634645225,78.039397021646,24.1965610859728
"44",1900,"Paris","Archery","Archery Men's Au Chapelet, 33 metres",175.550888826697,69.7922584958288,36.6666666666667
"45",1900,"Paris","Archery","Archery Men's Au Chapelet, 50 metres",175.476852994101,69.7461476298175,33.4489657288106
"46",1900,"Paris","Archery","Archery Men's Au Cordon Dore, 33 metres",175.550888826697,69.7922584958288,36.6666666666667
"47",1900,"Paris","Archery","Archery Men's Au Cordon Dore, 50 metres",175.365799245207,69.6769813308006,27.8979314576212
"48",1900,"Paris","Archery","Archery Men's Championnat Du Monde",175.698960491889,69.8844802278514,29
"49",1900,"Paris","Archery","Archery Men's Sur La Perche a La Herse",175.847032157081,69.976701959874,32.6771995043371
"50",1900,"Paris","Archery","Archery Men's Sur La Perche a La Pyramide",175.550888826697,69.7922584958288,43.6666666666667
"51",1900,"Paris","Archery","Archery Men's Unknown Event",179.488906497623,73.5559113957833,39
"52",1900,"Paris","Athletics","Athletics Men's 1,500 metres",176.255439536267,71.7168317911051,23.3333333333333
"53",1900,"Paris","Athletics","Athletics Men's 100 metres",176.058252206012,70.408758360125,22.2069154029526
"54",1900,"Paris","Athletics","Athletics Men's 110 metres Hurdles",176.703651002799,71.6723062731435,22.732413981165
"55",1900,"Paris","Athletics","Athletics Men's 2,500 metres Steeplechase",170.891153216948,69.528131828991,21.5
"56",1900,"Paris","Athletics","Athletics Men's 200 metres",177.298880173272,70.6067018855548,21.625
"57",1900,"Paris","Athletics","Athletics Men's 200 metres Hurdles",176.120224816892,69.8684817240485,22.3450784468402
"58",1900,"Paris","Athletics","Athletics Men's 4,000 metres Steeplechase",173.910978539815,72.1697969234271,24.125
"59",1900,"Paris","Athletics","Athletics Men's 400 metres",176.998877579243,72.239892170104,22.4312515085517
"60",1900,"Paris","Athletics","Athletics Men's 400 metres Hurdles",174.377380631238,67.4079677697707,24.2522522522523
"61",1900,"Paris","Athletics","Athletics Men's 5,000 metres, Team",174.718644610008,69.8001656781551,23.6795862915242
"62",1900,"Paris","Athletics","Athletics Men's 60 metres",178.286773532094,72.5363816243807,22
"63",1900,"Paris","Athletics","Athletics Men's 800 metres",176.318815821447,71.9138810162752,22.9931692665439
"64",1900,"Paris","Athletics","Athletics Men's Discus Throw",179.226509262514,78.2141490793224,24.2618387173329
"65",1900,"Paris","Athletics","Athletics Men's Hammer Throw",181.565793358845,83.7471420060788,23.6
"66",1900,"Paris","Athletics","Athletics Men's High Jump",178.379322893875,73.8893032342433,22.7244828644053
"67",1900,"Paris","Athletics","Athletics Men's Long Jump",178.473958221662,73.6826934194058,21.9829885762702
"68",1900,"Paris","Athletics","Athletics Men's Marathon",174.188887033932,68.8658989070907,25.7658110095829
"69",1900,"Paris","Athletics","Athletics Men's Pole Vault",178.599572875891,74.1981932783544,22.25
"70",1900,"Paris","Athletics","Athletics Men's Shot Put",178.835328186525,75.1060131378789,25.0893459481695
"71",1900,"Paris","Athletics","Athletics Men's Standing High Jump",179.591268770794,74.7545807193887,25
"72",1900,"Paris","Athletics","Athletics Men's Standing Long Jump",178.507137952174,73.4678892974874,24.5
"73",1900,"Paris","Athletics","Athletics Men's Standing Triple Jump",177.871566172208,72.5699346127853,22.9
"74",1900,"Paris","Athletics","Athletics Men's Triple Jump",176.927749045907,72.0876849228571,22.9842971473263
"75",1900,"Paris","Basque Pelota","Basque Pelota Men's Two-Man Teams With Cesta",174.921725239617,69.6896274149034,26
"76",1900,"Paris","Cricket","Cricket Men's Cricket",175.664020220532,70.7006759031777,28.7205704460899
"77",1900,"Paris","Croquet","Croquet Mixed Doubles",175.254745496312,69.6078150317836,18.5
"78",1900,"Paris","Croquet","Croquet Mixed Singles, One Ball",175.254745496312,69.6078150317836,32.9546362033872
"79",1900,"Paris","Croquet","Croquet Mixed Singles, Two Balls",175.254745496312,69.6078150317836,34.9489657288106
"80",1900,"Paris","Cycling","Cycling Men's 25 kilometres",175.185018541229,70.3151165979073,24.0211239983171
"81",1900,"Paris","Cycling","Cycling Men's Points Race",175.425693745849,70.1342261104805,24.4886863326523
"82",1900,"Paris","Cycling","Cycling Men's Sprint",175.304387052526,69.9410624364925,25.2516528975734
"83",1900,"Paris","Equestrianism","Equestrianism Mixed Four-In-Hand Competition",175.767707097386,70.2056336529294,35.8714786591873
"84",1900,"Paris","Equestrianism","Equestrianism Mixed Hacks And Hunter Combined",174.989203177794,70.0792267793949,32.7853981576459
"85",1900,"Paris","Equestrianism","Equestrianism Mixed High Jump",175.770039855575,70.8320269083065,28.4985756654564
"86",1900,"Paris","Equestrianism","Equestrianism Mixed Jumping, Individual",174.919561418611,69.9330039573989,32.7851558999647
"87",1900,"Paris","Equestrianism","Equestrianism Mixed Long Jump",175.752270014654,70.5951402381927,29.5728974779029
"88",1900,"Paris","Fencing","Fencing Men's epee, Individual",175.13840680975,69.8083626235837,27.4810538322187
"89",1900,"Paris","Fencing","Fencing Men's epee, Masters and Amateurs, Individual",175.211430790286,70.0409123931938,25.875
"90",1900,"Paris","Fencing","Fencing Men's epee, Masters, Individual",175.160155999433,69.7944136701738,27.4635957967393
"91",1900,"Paris","Fencing","Fencing Men's Foil, Individual",175.408384925399,70.1615387331058,28.2517613485871
"92",1900,"Paris","Fencing","Fencing Men's Foil, Masters, Individual",175.1557415573,69.8327870410886,29.2689742257572
"93",1900,"Paris","Fencing","Fencing Men's Sabre, Individual",175.81034469089,70.9655213953253,30.5975981391301
"94",1900,"Paris","Fencing","Fencing Men's Sabre, Masters, Individual",175.321387765223,70.6695917447703,29.2880201386527
"95",1900,"Paris","Football","Football Men's Football",175.764543822749,70.2911257783402,24.3074722566922
"96",1900,"Paris","Golf","Golf Men's Individual",175.732680639461,71.4412904436905,31.1264347541169
"97",1900,"Paris","Golf","Golf Women's Individual",176.070824326252,71.1198430554333,29.9591725830485
"98",1900,"Paris","Gymnastics","Gymnastics Men's Individual All-Around",175.199630618369,69.7801134073347,25.6719076041332
"99",1900,"Paris","Polo","Polo Men's Polo",175.274759363711,70.0174047473558,33.3260223438486
"100",1900,"Paris","Rowing","Rowing Men's Coxed Eights",177.063844098646,71.3900662535211,24.2690539663063
"101",1900,"Paris","Rowing","Rowing Men's Coxed Fours",176.293927548719,70.67983344685,24.446794951929
"102",1900,"Paris","Rowing","Rowing Men's Coxed Pairs",176.159704432952,69.570004936814,25.9859485932159
"103",1900,"Paris","Rowing","Rowing Men's Single Sculls",175.265972353418,69.7187147181288,25.7805752768282
"104",1900,"Paris","Rugby","Rugby Men's Rugby",176.030024812703,71.1082969620103,25.241388167932
"105",1900,"Paris","Sailing","Sailing Mixed 0-0.5 Ton",175.254745496312,69.6078150317836,27.1802305197651
"106",1900,"Paris","Sailing","Sailing Mixed 0.5-1 Ton",175.437784658047,69.9142708705016,31.5797955179245
"107",1900,"Paris","Sailing","Sailing Mixed 1-2 Ton",175.45874890153,70.0460270774944,31.9699121546674
"108",1900,"Paris","Sailing","Sailing Mixed 10-20 Ton",175.410659676967,70.0241429827909,37.9535590223601
"109",1900,"Paris","Sailing","Sailing Mixed 2-3 Ton",175.297267545582,69.721359018422,35.8163013251102
"110",1900,"Paris","Sailing","Sailing Mixed 20+ Ton",175.896656182265,70.9883209701194,32.2313728047296
"111",1900,"Paris","Sailing","Sailing Mixed 3-10 Ton",176.19451140111,70.6541788392106,32.2744123718044
"112",1900,"Paris","Sailing","Sailing Mixed Open",175.52359325173,69.9839520975796,31.3465882229514
"113",1900,"Paris","Shooting","Shooting Men's Free Pistol, 50 metres",175.903292114618,70.9968625035161,35.3063197026022
"114",1900,"Paris","Shooting","Shooting Men's Free Pistol, 50 metres, Team",175.903292114618,70.9968625035161,35.3063197026022
"115",1900,"Paris","Shooting","Shooting Men's Free Rifle, Kneeling, 300 metres",176.802760416519,71.7785060601595,33.8698265179678
"116",1900,"Paris","Shooting","Shooting Men's Free Rifle, Prone, 300 metres",176.802760416519,71.7785060601595,33.8698265179678
"117",1900,"Paris","Shooting","Shooting Men's Free Rifle, Standing, 300 metres",176.802760416519,71.7785060601595,33.8698265179678
"118",1900,"Paris","Shooting","Shooting Men's Free Rifle, Three Positions, 300 metres",176.802760416519,71.7785060601595,33.8698265179678
"119",1900,"Paris","Shooting","Shooting Men's Free Rifle, Three Positions, 300 metres, Team",176.802760416519,71.7785060601595,33.8698265179678
