"","Country","Medal","Count"
"1","Afghanistan","Bronze",2
"2","Afghanistan","Silver",0
"3","Afghanistan","Gold",0
"4","Albania","Bronze",0
"5","Albania","Silver",0
"6","Albania","Gold",0
"7","Algeria","Bronze",8
"8","Algeria","Silver",4
"9","Algeria","Gold",5
"10","American Samoa","Bronze",0
"11","American Samoa","Silver",0
"12","American Samoa","Gold",0
"13","Andorra","Bronze",0
"14","Andorra","Silver",0
"15","Andorra","Gold",0
"16","Angola","Bronze",0
"17","Angola","Silver",0
"18","Angola","Gold",0
"19","Antigua","Bronze",0
"20","Antigua","Silver",0
"21","Antigua","Gold",0
"22","Argentina","Bronze",91
"23","Argentina","Silver",92
"24","Argentina","Gold",91
"25","Armenia","Bronze",9
"26","Armenia","Silver",5
"27","Armenia","Gold",2
"28","Aruba","Bronze",0
"29","Aruba","Silver",0
"30","Aruba","Gold",0
"31","Australia","Bronze",522
"32","Australia","Silver",459
"33","Australia","Gold",368
"34","Austria","Bronze",156
"35","Austria","Silver",186
"36","Austria","Gold",108
"37","Azerbaijan","Bronze",25
"38","Azerbaijan","Silver",12
"39","Azerbaijan","Gold",7
"40","Bahamas","Bronze",15
"41","Bahamas","Silver",11
"42","Bahamas","Gold",14
"43","Bahrain","Bronze",1
"44","Bahrain","Silver",1
"45","Bahrain","Gold",1
"46","Bangladesh","Bronze",0
"47","Bangladesh","Silver",0
"48","Bangladesh","Gold",0
"49","Barbados","Bronze",1
"50","Barbados","Silver",0
"51","Barbados","Gold",0
"52","Belarus","Bronze",71
"53","Belarus","Silver",44
"54","Belarus","Gold",24
"55","Belgium","Bronze",173
"56","Belgium","Silver",197
"57","Belgium","Gold",98
"58","Belize","Bronze",0
"59","Belize","Silver",0
"60","Belize","Gold",0
"61","Benin","Bronze",0
"62","Benin","Silver",0
"63","Benin","Gold",0
"64","Bermuda","Bronze",1
"65","Bermuda","Silver",0
"66","Bermuda","Gold",0
"67","Bhutan","Bronze",0
"68","Bhutan","Silver",0
"69","Bhutan","Gold",0
"70","Bolivia","Bronze",0
"71","Bolivia","Silver",0
"72","Bolivia","Gold",0
"73","Bosnia and Herz.","Bronze",0
"74","Bosnia and Herz.","Silver",0
"75","Bosnia and Herz.","Gold",0
"76","Botswana","Bronze",0
"77","Botswana","Silver",1
"78","Botswana","Gold",0
"79","Brazil","Bronze",191
"80","Brazil","Silver",175
"81","Brazil","Gold",109
"82","Brunei","Bronze",0
"83","Brunei","Silver",0
"84","Brunei","Gold",0
"85","Bulgaria","Bronze",144
"86","Bulgaria","Silver",144
"87","Bulgaria","Gold",54
"88","Burkina Faso","Bronze",0
"89","Burkina Faso","Silver",0
"90","Burkina Faso","Gold",0
"91","Burundi","Bronze",0
"92","Burundi","Silver",1
"93","Burundi","Gold",1
"94","Cambodia","Bronze",0
"95","Cambodia","Silver",0
"96","Cambodia","Gold",0
"97","Cameroon","Bronze",1
"98","Cameroon","Silver",1
"99","Cameroon","Gold",20
"100","Canada","Bronze",451
"101","Canada","Silver",438
"102","Canada","Gold",463
"103","Cape Verde","Bronze",0
"104","Cape Verde","Silver",0
"105","Cape Verde","Gold",0
"106","Cayman Islands","Bronze",0
"107","Cayman Islands","Silver",0
"108","Cayman Islands","Gold",0
"109","Central African Rep.","Bronze",0
"110","Central African Rep.","Silver",0
"111","Central African Rep.","Gold",0
"112","Chad","Bronze",0
"113","Chad","Silver",0
"114","Chad","Gold",0
"115","Chile","Bronze",20
"116","Chile","Silver",9
"117","Chile","Gold",3
"118","China","Bronze",293
"119","China","Silver",349
"120","China","Gold",351
"121","Colombia","Bronze",14
"122","Colombia","Silver",9
"123","Colombia","Gold",5
"124","Comoros","Bronze",0
"125","Comoros","Silver",0
"126","Comoros","Gold",0
"127","Congo","Bronze",0
"128","Congo","Silver",0
"129","Congo","Gold",0
"130","Cook Islands","Bronze",0
"131","Cook Islands","Silver",0
"132","Cook Islands","Gold",0
"133","Costa Rica","Bronze",2
"134","Costa Rica","Silver",1
"135","Costa Rica","Gold",1
"136","Côte d'Ivoire","Bronze",1
"137","Côte d'Ivoire","Silver",1
"138","Côte d'Ivoire","Gold",1
"139","Croatia","Bronze",37
"140","Croatia","Silver",54
"141","Croatia","Gold",58
"142","Cuba","Bronze",116
"143","Cuba","Silver",129
"144","Cuba","Gold",164
"145","Curacao","Bronze",0
"146","Curacao","Silver",1
"147","Curacao","Gold",0
"148","Cyprus","Bronze",0
"149","Cyprus","Silver",1
"150","Cyprus","Gold",0
"151","Czech Republic","Bronze",248
"152","Czech Republic","Silver",261
"153","Czech Republic","Gold",123
"154","Czechia","Bronze",11
"155","Czechia","Silver",1
"156","Czechia","Gold",0
"157","Dem. Rep. Congo","Bronze",0
"158","Dem. Rep. Congo","Silver",0
"159","Dem. Rep. Congo","Gold",0
"160","Denmark","Bronze",177
"161","Denmark","Silver",241
"162","Denmark","Gold",179
"163","Djibouti","Bronze",1
"164","Djibouti","Silver",0
"165","Djibouti","Gold",0
"166","Dominica","Bronze",0
"167","Dominica","Silver",0
"168","Dominica","Gold",0
"169","Dominican Rep.","Bronze",2
"170","Dominican Rep.","Silver",2
"171","Dominican Rep.","Gold",3
"172","Ecuador","Bronze",0
"173","Ecuador","Silver",1
"174","Ecuador","Gold",1
"175","Egypt","Bronze",12
"176","Egypt","Silver",8
"177","Egypt","Gold",7
"178","El Salvador","Bronze",0
"179","El Salvador","Silver",0
"180","El Salvador","Gold",0
"181","Equatorial Guinea","Bronze",0
