"","Country","Bronze","Gold","Silver","Athletes"
"1","Afghanistan",2,0,0,126
"2","Albania",0,0,0,70
"3","Algeria",8,5,4,551
"4","American Samoa",0,0,0,37
"5","Andorra",0,0,0,169
"6","Angola",0,0,0,267
"7","Antigua",0,0,0,133
"8","Argentina",91,91,92,3297
"9","Armenia",9,2,5,221
"10","Aruba",0,0,0,42
"11","Australia",522,368,459,7724
"12","Austria",156,108,186,5141
"13","Azerbaijan",25,7,12,283
"14","Bahamas",15,14,11,374
"15","Bahrain",1,1,1,126
"16","Bangladesh",0,0,0,55
"17","Barbados",1,0,0,219
"18","Belarus",71,24,44,1787
"19","Belgium",173,98,197,3857
"20","Belize",0,0,0,76
"21","Benin",0,0,0,71
"22","Bermuda",1,0,0,212
"23","Bhutan",0,0,0,36
"24","Bolivia",0,0,0,152
"25","Bosnia and Herz.",0,0,0,134
"26","Botswana",0,0,1,90
"27","Brazil",191,109,175,3848
"28","Brunei",0,0,0,10
"29","Bulgaria",144,54,144,3530
"30","Burkina Faso",0,0,0,44
"31","Burundi",0,1,1,39
"32","Cambodia",0,0,0,63
"33","Cameroon",1,20,1,312
"34","Canada",451,463,438,9734
"35","Cape Verde",0,0,0,18
"36","Cayman Islands",0,0,0,83
"37","Central African Rep.",0,0,0,67
"38","Chad",0,0,0,41
"39","Chile",20,3,9,925
"40","China",293,351,349,5826
"41","Colombia",14,5,9,1069
"42","Comoros",0,0,0,19
"43","Congo",0,0,0,105
"44","Cook Islands",0,0,0,40
"45","Costa Rica",2,1,1,264
"46","Côte d'Ivoire",1,1,1,193
"47","Croatia",37,58,54,876
"48","Cuba",116,164,129,2479
"49","Curacao",0,0,1,79
"50","Cyprus",0,0,1,225
"51","Czech Republic",248,123,261,6278
"52","Czechia",11,0,1,153
"53","Dem. Rep. Congo",0,0,0,93
"54","Denmark",177,179,241,3570
"55","Djibouti",1,0,0,38
"56","Dominica",0,0,0,19
"57","Dominican Rep.",2,3,2,277
"58","Ecuador",0,1,1,277
"59","Egypt",12,7,8,1622
"60","El Salvador",0,0,0,218
"61","Equatorial Guinea",0,0,0,40
"62","Eritrea",1,0,0,43
"63","Estonia",25,13,12,876
"64","eSwatini",0,0,0,67
"65","Ethiopia",22,22,9,378
"66","Fiji",0,13,0,232
"67","Finland",432,198,270,5467
"68","France",666,501,610,12758
"69","Gabon",0,0,1,63
"70","Gambia",0,0,0,56
"71","Georgia",18,8,6,286
"72","Germany",1260,1301,1195,15883
"73","Ghana",22,0,1,359
"74","Greece",84,62,109,3192
"75","Grenada",0,1,1,54
"76","Guam",0,0,0,112
"77","Guatemala",0,0,1,425
"78","Guinea",0,0,0,73
"79","Guinea-Bissau",0,0,0,21
"80","Guyana",1,0,0,102
"81","Haiti",5,1,1,106
"82","Honduras",0,0,0,189
"83","Hungary",371,432,332,6607
"84","Iceland",2,0,15,627
"85","India",40,138,19,1408
"86","Individual Olympic Athletes",3,1,1,94
"87","Indonesia",13,11,17,412
"88","Iran",29,18,21,789
"89","Iraq",1,0,0,232
"90","Ireland",13,9,13,1325
"91","Israel",7,1,1,665
"92","Italy",531,575,531,10715
"93","Jamaica",44,38,75,848
"94","Japan",357,247,309,8444
"95","Jordan",0,1,0,80
"96","Kazakhstan",32,20,25,1429
"97","Kenya",31,34,41,772
"98","Kiribati",0,0,0,11
"99","Kosovo",0,1,0,8
"100","Kuwait",2,0,0,284
"101","Kyrgyzstan",2,0,1,227
"102","Laos",0,0,0,54
"103","Latvia",13,3,19,951
"104","Lebanon",2,0,2,329
"105","Lesotho",0,0,0,66
"106","Liberia",0,0,0,74
"107","Libya",0,0,0,84
"108","Liechtenstein",5,2,2,369
"109","Lithuania",48,6,7,654
"110","Luxembourg",0,4,4,996
"111","Macedonia",1,0,0,84
"112","Madagascar",0,0,0,119
"113","Malawi",0,0,0,87
"114","Malaysia",5,0,11,577
"115","Maldives",0,0,0,49
"116","Mali",0,0,0,92
"117","Malta",0,0,0,118
"118","Marshall Islands",0,0,0,14
"119","Mauritania",0,0,0,29
"120","Mauritius",1,0,0,144
"121","Mexico",54,30,26,2880
"122","Micronesia",0,0,0,26
"123","Moldova",5,0,3,234
"124","Monaco",1,0,0,197
"125","Mongolia",14,2,10,550
"126","Montenegro",0,0,14,94
"127","Morocco",12,6,5,682
"128","Mozambique",1,1,0,78
"129","Myanmar",0,0,0,111
"130","Namibia",0,0,4,77
"131","Nauru",0,0,0,13
"132","Nepal",0,1,0,94
"133","Netherlands",413,287,340,5839
"134","New Zealand",82,90,56,2342
"135","Nicaragua",0,0,0,129
"136","Niger",1,0,1,47
"137","Nigeria",46,23,30,882
"138","North Korea",35,16,16,807
"139","Norway",294,378,361,4960
"140","Oman",0,0,0,66
"141","Pakistan",34,42,45,562
"142","Palau",0,0,0,25
"143","Palestine",0,0,0,21
"144","Panama",2,1,0,139
"145","Papua New Guinea",0,0,0,108
"146","Paraguay",0,0,17,135
"147","Peru",0,1,14,532
"148","Philippines",7,0,3,694
"149","Poland",253,117,195,6207
"150","Portugal",26,4,11,1522
"151","Puerto Rico",6,1,2,927
"152","Qatar",4,0,1,192
"153","Romania",292,161,200,4405
"154","Russia",1178,1599,1170,11692
"155","Rwanda",0,0,0,56
"156","S. Sudan",0,0,0,3
"157","Saint Kitts",0,0,0,42
"158","Saint Lucia",0,0,0,28
"159","Saint Vincent",0,0,0,42
"160","Samoa",0,0,0,63
"161","San Marino",0,0,0,181
"162","Sao Tome and Principe",0,0,0,15
"163","Saudi Arabia",5,0,1,230
"164","Senegal",0,0,1,393
"165","Serbia",160,157,222,3296
"166","Seychelles",0,0,0,111
"167","Sierra Leone",0,0,0,114
"168","Singapore",4,1,4,349
"169","Slovakia",13,15,19,1055
"170","Slovenia",27,8,13,1111
"171","Solomon Islands",0,0,0,27
"172","Somalia",0,0,0,32
"173","South Africa",52,32,47,1711
"174","South Korea",185,221,232,4464
"175","Spain",136,110,243,5313
"176","Sri Lanka",0,0,2,146
"177","Sudan",0,0,1,107
"178","Suriname",1,1,0,69
"179","Sweden",535,479,522,8339
"180","Switzerland",268,175,248,6150
"181","Syria",2,1,2,279
"182","Taiwan",18,3,28,1097
"183","Tajikistan",2,1,1,70
"184","Tanzania",0,0,2,161
"185","Thailand",13,9,8,747
"186","Timor-Leste",0,0,0,9
"187","Togo",1,0,0,59
"188","Tonga",0,0,1,46
"189","Trinidad",22,7,8,395
"190","Tunisia",7,3,3,561
"191","Turkey",28,40,27,1356
"192","Turkmenistan",0,0,0,54
"193","Uganda",2,2,3,260
"194","Ukraine",100,47,52,2559
"195","United Arab Emirates",1,1,0,144
"196","United Kingdom",651,678,739,12256
"197","United States of America",1358,2638,1641,18853
"198","Uruguay",30,31,2,576
"199","Uzbekistan",17,10,7,495
"200","Vanuatu",0,0,0,35
"201","Venezuela",10,2,3,925
"202","Vietnam",0,1,3,216
"203","Virgin Islands, British",0,0,0,45
"204","Virgin Islands, US",0,0,1,294
"205","Yemen",0,0,0,48
"206","Zambia",1,0,1,183
"207","Zimbabwe",1,17,4,323
"208",NA,0,0,0,21
